,A,NKE,PKI,HOG,MSI,ED,PRU,MCHP,HBI,RF,ETR,IFF,KR,COP,PFG,ZBH,VTR,URBN,BWA,A,EXPD,APD,MAC,DISCK,YUM,MHK,ZION,MOS,PYPL,JPM,ETFC,NAVI,ROP,AMGN,GD,LMT,CVS,AEE,AMG,BF-B,MU,SWN,JNPR,FITB,CLX,CBOE,AIV,XLNX,IRM,WFC,REGN,BAC,FOXA,TWX,COTY,SYY,ORLY,MSI,MAA,MNK,ADS,SHW,NI,STX,EQR,CME,WMT,BBBY,IPG,HIG,BBT,IR,TDG,KMX,HD,SYY,FLIR,EVHC,NVDA,BEN,FLS,PFE,TGNA,DLPH,MAR,CHD,LNC,CF,BBBY,PYPL,AES,ZTS,UHS,PFE,PAYX,URI,REG,CCL,DNB,L
accountsPayable,762000000.0,5143000000.0,722735000.0,757419000.0,2879000000.0,1642000000.0,9600000000.0,373700000.0,1517283000.0,,1730862000.0,392608000.0,6957000000.0,6822000000.0,16700000.0,495400000.0,1276510000.0,360214000.0,2311100000.0,762000000.0,1093119000.0,1912900000.0,639168000.0,1586000000.0,1137000000.0,1451672000.0,,1681500000.0,2121000000.0,189383000000.0,22422000000.0,,662018000.0,7868000000.0,10199000000.0,10004000000.0,15472000000.0,1053000000.0,,510000000.0,3664000000.0,692000000.0,707900000.0,1412000000.0,1005000000.0,156400000.0,220352000.0,412851000.0,942283000.0,70615000000.0,815078000.0,152123000000.0,5108000000.0,7916000000.0,3594500000.0,5561873000.0,3408179000.0,2879000000.0,405560000.0,736700000.0,1094000000.0,3352270000.0,1291800000.0,2626000000.0,365629000.0,31300000.0,68859000000.0,1830604000.0,7582500000.0,,5990000000.0,3721000000.0,484649000.0,808504000.0,11628000000.0,5561873000.0,314620000.0,62200000.0,1138000000.0,1114700000.0,1167309000.0,9358000000.0,219666000.0,931000000.0,3548000000.0,664100000.0,,563000000.0,1830604000.0,2121000000.0,2831000000.0,1050000000.0,1302415000.0,9358000000.0,337700000.0,945000000.0,234272000.0,2639000000.0,335500000.0,60000000.0
capitalSurplus,5300000000.0,8638000000.0,58828000.0,1422808000.0,351000000.0,,24769000000.0,2562500000.0,271462000.0,15858000000.0,5417245000.0,162827000.0,3161000000.0,46622000000.0,9925200000.0,8514900000.0,13053057000.0,684000.0,1118700000.0,5300000000.0,546000.0,1001100000.0,4510489000.0,7295000000.0,,1828131000.0,,44500000.0,14314000000.0,90579000000.0,6582000000.0,3077000000.0,1602869000.0,,2872000000.0,,32079000000.0,5540000000.0,808600000.0,65000000.0,8287000000.0,4698000000.0,8042100000.0,2790000000.0,928000000.0,2623700000.0,3900042000.0,878672000.0,4164562000.0,60893000000.0,3512833000.0,,12406000000.0,145077000000.0,11203200000.0,1327366000.0,1265043000.0,351000000.0,7121112000.0,5492600000.0,3099800000.0,,5529100000.0,6152000000.0,8886586000.0,17896900000.0,2648000000.0,2057975000.0,955200000.0,4379000000.0,7893000000.0,461300000.0,1095319000.0,1234047000.0,10192000000.0,1327366000.0,,6008900000.0,5351000000.0,,488326000.0,84278000000.0,382127000.0,431000000.0,5770000000.0,264600000.0,,1397000000.0,2057975000.0,14314000000.0,8501000000.0,1013000000.0,,84278000000.0,1030000000.0,2356000000.0,7873104000.0,8690000000.0,332000000.0,3151000000.0
cash,2678000000.0,3808000000.0,202134000.0,735039000.0,1268000000.0,844000000.0,14490000000.0,901300000.0,421566000.0,29456000000.0,1187844000.0,368046000.0,347000000.0,6325000000.0,2470800000.0,524400000.0,81355000.0,282220000.0,545300000.0,2678000000.0,1051099000.0,3273600000.0,143105000.0,7309000000.0,1723000000.0,84884000.0,17923000000.0,2153500000.0,2883000000.0,628543000000.0,1803000000.0,1788000000.0,671327000.0,3800000000.0,2983000000.0,2861000000.0,1696000000.0,10000000.0,439500000.0,182000000.0,5109000000.0,916000000.0,2006500000.0,35220000000.0,418000000.0,143500000.0,142541000.0,2179328000.0,925699000.0,804721000000.0,812733000.0,704552000000.0,6163000000.0,2621000000.0,570700000.0,869502000.0,46348000.0,1268000000.0,88867000.0,1260900000.0,4779500000.0,204213000.0,38400000.0,2539000000.0,100762000.0,1903600000.0,6756000000.0,346140000.0,790900000.0,180000000.0,50287000000.0,1549400000.0,650561000.0,443967000.0,3595000000.0,869502000.0,519090000.0,312200000.0,4002000000.0,8749700000.0,703445000.0,1342000000.0,98801000.0,338000000.0,383000000.0,278900000.0,1628000000.0,835000000.0,346140000.0,2883000000.0,1223000000.0,1564000000.0,74423000.0,1342000000.0,4486500000.0,352000000.0,49381000.0,395000000.0,442400000.0,472000000.0
commonStock,3000000.0,3000000.0,110361000.0,1813000.0,2000000.0,,6000000.0,200000.0,3601000.0,12000000.0,2548000.0,14470000.0,1918000000.0,18000000.0,4700000.0,3100000.0,89029000.0,11000.0,2500000.0,3000000.0,1764000.0,249400000.0,1410000.0,5000000.0,,818000.0,4445000000.0,3500000.0,,4105000000.0,3000000.0,4000000.0,1044000.0,30992000000.0,482000000.0,284000000.0,17000000.0,2000000.0,600000.0,68000000.0,112000000.0,5000000.0,,2051000000.0,159000000.0,1200000.0,1572000.0,2534000.0,2831000.0,9136000000.0,112000.0,138089000000.0,19000000.0,17000000.0,8100000.0,765175000.0,843000.0,2000000.0,1134000.0,18400000.0,1100000.0,117561000.0,3400000.0,,3680000.0,3400000.0,295000000.0,3418000.0,38600000.0,4000000.0,3910000000.0,274000000.0,561000.0,89874000.0,89000000.0,765175000.0,91162000.0,1200000.0,1000000.0,55500000.0,220991000.0,464000000.0,324419000.0,1000000.0,5000000.0,292800000.0,5693000000.0,2000000.0,3418000.0,,8000000.0,5000000.0,942000.0,464000000.0,3600000.0,1000000.0,1714000.0,365000000.0,800000.0,3000000.0
deferredLongTermAssetCharges,,2787000000.0,,109073000.0,1023000000.0,148000000.0,18992000000.0,100200000.0,234932000.0,,356985000.0,99777000.0,,,3540700000.0,,,101567000.0,,,13207000.0,,449190000.0,,139000000.0,387870000.0,,254600000.0,,,251000000.0,,30726000.0,,,3111000000.0,,,,16000000.0,766000000.0,,,,,,,,,,506291000.0,,,,72600000.0,142472000.0,,1023000000.0,,,28100000.0,296743000.0,82000000.0,609000000.0,,,,,236000000.0,1814000000.0,,,,63256000.0,,142472000.0,21001000.0,,,,51974000.0,1855000000.0,,178000000.0,93000000.0,,8403000000.0,,,,130000000.0,80000000.0,12794000.0,1855000000.0,,,80044000.0,,57100000.0,634000000.0
deferredLongTermLiab,,1907000000.0,,,,5829000000.0,,205800000.0,,,7722437000.0,37344000.0,1568000000.0,5282000000.0,1092500000.0,1101500000.0,250092000.0,291663000.0,,,,778400000.0,,319000000.0,,328103000.0,,1117300000.0,1917000000.0,,,,829657000.0,1166000000.0,,,2996000000.0,3015000000.0,467400000.0,152000000.0,,,509000000.0,,61000000.0,488200000.0,12487000.0,75000.0,281959000.0,,629199000.0,,2782000000.0,2052000000.0,924900000.0,161715000.0,85406000.0,,,689000000.0,331500000.0,1434196000.0,1333800000.0,,,4857700000.0,8354000000.0,431592000.0,476600000.0,,,757500000.0,500949000.0,,440000000.0,161715000.0,12496000.0,,,170600000.0,,3900000000.0,382310000.0,4000000.0,604000000.0,758400000.0,1000000.0,1047000000.0,431592000.0,1917000000.0,1006000000.0,380000000.0,54962000.0,3900000000.0,33900000.0,1419000000.0,,,,749000000.0
goodWill,2607000000.0,139000000.0,3002198000.0,55947000.0,938000000.0,428000000.0,,2299000000.0,1167007000.0,4904000000.0,377172000.0,1156288000.0,2925000000.0,,1068800000.0,10668400000.0,1034641000.0,,1881800000.0,2607000000.0,7927000.0,721500000.0,,7073000000.0,512000000.0,2471459000.0,1014000000.0,1693600000.0,4339000000.0,,2370000000.0,,8820313000.0,14761000000.0,11914000000.0,10807000000.0,38451000000.0,411000000.0,2662500000.0,753000000.0,1228000000.0,,3096200000.0,2445000000.0,1196000000.0,2707400000.0,,162421000.0,4070267000.0,26587000000.0,,68951000000.0,12792000000.0,27776000000.0,8555500000.0,3916128000.0,789058000.0,938000000.0,,3482700000.0,3880100000.0,6814345000.0,1690700000.0,1238000000.0,,7569000000.0,18242000000.0,716283000.0,3820400000.0,1290000000.0,9618000000.0,5935700000.0,5745338000.0,,2275000000.0,3916128000.0,909811000.0,7536100000.0,618000000.0,,1218188000.0,55952000000.0,2579417000.0,7000000.0,9207000000.0,1958900000.0,1368000000.0,2371000000.0,716283000.0,4339000000.0,1059000000.0,1510000000.0,3825157000.0,55952000000.0,657100000.0,4082000000.0,,2967000000.0,779600000.0,659000000.0
intangibleAssets,361000000.0,283000000.0,1346940000.0,,861000000.0,131000000.0,,1662000000.0,1402857000.0,177000000.0,,415787000.0,1100000000.0,,1314700000.0,8353400000.0,1537995000.0,,492700000.0,361000000.0,,368300000.0,,1770000000.0,110000000.0,891767000.0,2000000.0,,168000000.0,54392000000.0,284000000.0,810000000.0,3475218000.0,8609000000.0,702000000.0,3797000000.0,13630000000.0,,1449700000.0,641000000.0,387000000.0,,128100000.0,27000000.0,722000000.0,1902600000.0,,4123000.0,1400547000.0,,,,6574000000.0,7591000000.0,8425200000.0,1037511000.0,,861000000.0,,8375000000.0,800600000.0,6002361000.0,231700000.0,281000000.0,,19521600000.0,,,,659000000.0,711000000.0,3742900000.0,1717862000.0,,,1037511000.0,168130000.0,3665500000.0,52000000.0,2227700000.0,210049000.0,48741000000.0,1273269000.0,75000000.0,8805000000.0,2320500000.0,,,,168000000.0,366000000.0,1269000000.0,,48741000000.0,57600000.0,875000000.0,478826000.0,1200000000.0,449000000.0,
inventory,575000000.0,5055000000.0,351675000.0,538202000.0,327000000.0,334000000.0,,476200000.0,1874990000.0,,878123000.0,649448000.0,6533000000.0,1060000000.0,,2081800000.0,,351395000.0,766300000.0,575000000.0,,335400000.0,,,13000000.0,1948663000.0,,1547200000.0,,,,,204933000.0,2834000000.0,5303000000.0,4487000000.0,15296000000.0,522000000.0,,1270000000.0,3123000000.0,,,,459000000.0,,,236077000.0,,,726138000.0,,3101000000.0,2401000000.0,1052600000.0,2995598000.0,3009800000.0,327000000.0,,340400000.0,234100000.0,1801375000.0,471100000.0,982000000.0,,,43783000000.0,2730874000.0,,,,1555400000.0,730681000.0,2390694000.0,12748000000.0,2995598000.0,372183000.0,22700000.0,796000000.0,,884273000.0,7578000000.0,,498000000.0,,330700000.0,,275000000.0,2730874000.0,,562000000.0,1427000000.0,136177000.0,7578000000.0,,75000000.0,,387000000.0,,
longTermDebt,1801000000.0,3471000000.0,1788803000.0,4587258000.0,4419000000.0,14731000000.0,22906000000.0,1758400000.0,3702054000.0,,14492237000.0,1632186000.0,12029000000.0,17128000000.0,3217900000.0,8917500000.0,11276062000.0,,2103700000.0,1801000000.0,,3402400000.0,4998695000.0,14755000000.0,9429000000.0,1559895000.0,,4878100000.0,,407743000000.0,,,4354611000.0,34190000000.0,3980000000.0,13513000000.0,22181000000.0,7094000000.0,1854700000.0,1689000000.0,9872000000.0,4391000000.0,2136300000.0,,1391000000.0,1237900000.0,249501000.0,1214440000.0,6896971000.0,8796000000.0,703453000.0,115487000000.0,19456000000.0,18294000000.0,6928300000.0,7660877000.0,2978390000.0,4419000000.0,4502057000.0,6420900000.0,13415700000.0,9885745000.0,7512200000.0,5021000000.0,8657534000.0,2233100000.0,36825000000.0,1492078000.0,1285600000.0,4998000000.0,,2957000000.0,11393620000.0,12752812000.0,24267000000.0,7660877000.0,420684000.0,6263300000.0,1985000000.0,1097600000.0,1499658000.0,52235000000.0,3007047000.0,1515000000.0,7840000000.0,2103400000.0,11522000000.0,4692000000.0,1492078000.0,,17801000000.0,5125000000.0,3494390000.0,52235000000.0,,8717000000.0,3594977000.0,6993000000.0,1645600000.0,11533000000.0
