,A,NKE,PKI,HOG,MSI,ED,PRU,MCHP,HBI,RF,ETR,IFF,KR,COP,PFG,ZBH,VTR,URBN,BWA,A,EXPD,APD,MAC,DISCK,YUM,MHK,ZION,MOS,PYPL,JPM,ETFC,NAVI,ROP,AMGN,GD,LMT,CVS,AEE,AMG,BF-B,MU,SWN,JNPR,FITB,CLX,CBOE,AIV,XLNX,IRM,WFC,REGN,BAC,FOXA,TWX,COTY,SYY,ORLY,MSI,MAA,MNK,ADS,SHW,NI,STX,EQR,CME,WMT,BBBY,IPG,HIG,BBT,IR,TDG,KMX,HD,SYY,FLIR,EVHC,NVDA,BEN,FLS,PFE,TGNA,DLPH,MAR,CHD,LNC,CF,BBBY,PYPL,AES,ZTS,UHS,PFE,PAYX,URI,REG,CCL,DNB,L
costOfRevenue,2063000000,19038000000,1183951000,3574320000,3356000000,5928000000,35374000000,1560100000,3980859000,156000000,6535116000,1919718000,95662000000,17648000000,7822600000,2132900000,1486463000,2440507000,7679200000,2063000000,4601759000,5753400000,395311000,2656000000,2954000000,6494876000,59000000,6566600000,0,0,0,0,1742675000,4069000000,24786000000,45500000000,156220000000,3346000000,0,973000000,11886000000,671000000,1955100000,277000000,3302000000,1233500000,354379000,756368000,1685318000,3013000000,397061000,3135000000,0,17647000000,3028500000,44813632000,4257043000,3356000000,256129000,1565300000,5410000000,8202577000,1518700000,7597000000,826269000,0,373396000000,7906286000,0,10174000000,344000000,9811600000,1519659000,14791350000,66548000000,44813632000,941658000,5850100000,3892000000,0,2575454000,11240000000,933718000,3869000000,19192000000,2046600000,9336000000,3700000000,7906286000,0,8066000000,1775000000,0,11240000000,0,3872000000,253713000,10501000000,0,5310000000
discontinuedOperations,,,135743000,,,,,,-2097000,6000000,,,,,,,717163000,,,,,1866000000,,,,,,,,,,,,,,73000000,-8000000,,,,,,,,-2000000,,299559000,,-6291000,,,,-44000000,,,,,,,363200000,,-41540000,-100000,,,,,,,-2869000000,,-25400000,-31654000,,,,,-491900000,,,,2000000,-232916000,,,,,,,,-629000000,,,2000000,,,,,-800000,
ebit,882000000,4886000000,304803000,894843000,1277000000,2726000000,6487000000,936300000,711705000,2088000000,-681217000,602408000,2085000000,-1517000000,2252200000,792100000,1033661000,261366000,1082900000,882000000,718595000,1536700000,263497000,338000000,2274000000,1348968000,1004000000,512100000,2200000000,50175000000,1150000000,3735000000,1215289000,10901000000,4077000000,5920000000,9309000000,1496000000,1167900000,992000000,5797000000,1088000000,811800000,3185000000,1121000000,375700000,210009000,750411000,569680000,33716000000,2103630000,40194000000,5908000000,6950000000,-439400000,2069108000,1729153000,1277000000,496536000,430700000,1645500000,1791690000,796300000,1037000000,1024645000,2643300000,17453000000,761321000,966800000,1039000000,3821000000,1633700000,1440019000,1134353000,14755000000,2069108000,295869000,758400000,3257000000,2600600000,322737000,12305000000,521000000,637000000,3124000000,745300000,1383000000,190000000,761321000,2200000000,2009000000,1700000000,1280178000,12305000000,1244800000,1512000000,221362000,2864000000,382400000,2228000000
effectOfAccountingCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinaryItems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfit,2409000000,15312000000,1073031000,2072904000,3024000000,6105000000,24315000000,2420700000,2490551000,0,4310529000,1479001000,27000000000,11458000000,6270600000,5691200000,2081652000,1175507000,2120100000,2409000000,2319189000,2434200000,598351000,4217000000,2924000000,2996414000,0,842800000,13094000000,94334000000,2534000000,0,2864796000,18780000000,6187000000,5548000000,28545000000,2831000000,2204200000,2021000000,8436000000,2532000000,3072100000,0,2671000000,995600000,651058000,1782636000,2160260000,0,5475166000,0,28500000000,13624000000,4621800000,10557507000,4720683000,3024000000,1272858000,1656300000,2309400000,6781211000,3355900000,3174000000,1645137000,3527700000,126947000000,4443015000,7882400000,6800000000,0,4386000000,1984627000,2328859000,34356000000,10557507000,858776000,1969200000,5822000000,6340700000,1085377000,41306000000,969308000,980000000,3702000000,1729600000,4921000000,430000000,4443015000,13094000000,2464000000,3532000000,10409865000,41306000000,3151300000,2769000000,730613000,7009000000,1742500000,8425000000
incomeBeforeTax,803000000,4886000000,296718000,863839000,1076000000,1997000000,6487000000,737300000,537270000,1871000000,-1381762000,537045000,1484000000,-2615000000,2252200000,464600000,585465000,261366000,1012400000,803000000,718595000,1416100000,91721000,-137000000,2274000000,1317857000,936000000,374000000,2200000000,35900000000,1064000000,764000000,1034723000,9597000000,4077000000,5269000000,8268000000,1105000000,1067100000,933000000,5196000000,953000000,811800000,2771000000,1033000000,334400000,15394000,750411000,216105000,27377000000,2078511000,29213000000,4689000000,5945000000,-658000000,1766230000,1637804000,1076000000,341785000,61600000,1081100000,1528219000,443100000,815000000,632229000,2526300000,15123000000,695660000,876000000,723000000,3326000000,1417900000,837430000,1063608000,13698000000,1766230000,279065000,-30900000,3196000000,2549100000,263007000,12305000000,310716000,425000000,2836000000,692700000,1130000000,-125000000,695660000,2200000000,839000000,1525000000,1135009000,12305000000,1244800000,1048000000,98470000,2666000000,322700000,1582000000
incomeTaxExpense,119000000,646000000,139828000,342080000,1227000000,472000000,-1438000000,481900000,473279000,614000000,-817259000,241380000,-405000000,-1822000000,-72300000,-1348800000,-59799000,153103000,580300000,119000000,228212000,260900000,15594000,176000000,934000000,343165000,344000000,494900000,405000000,11459000000,450000000,472000000,62951000,7618000000,1165000000,3340000000,1637000000,576000000,58400000,264000000,114000000,-93000000,505600000,577000000,330000000,-66200000,-32126000,238030000,25947000,4917000000,880000000,10981000000,1419000000,701000000,-259500000,623727000,504000000,1227000000,2619000,-1709600000,292400000,-285583000,314500000,43000000,478000,-1537100000,4600000000,270802000,281900000,985000000,911000000,80200000,208889000,399496000,5068000000,623727000,171842000,-496800000,149000000,759400000,258679000,-9049000000,-137246000,106000000,1464000000,-50700000,-949000000,-575000000,270802000,405000000,990000000,663000000,363697000,-9049000000,427500000,-298000000,0,60000000,179700000,170000000
interestExpense,79000000,,8085000,31004000,201000000,729000000,,199000000,174435000,217000000,700545000,65363000,601000000,1098000000,,327500000,448196000,,70500000,79000000,,120600000,171776000,475000000,,31111000,68000000,138100000,,14275000000,86000000,,180566000,1304000000,,651000000,1041000000,391000000,100800000,59000000,601000000,135000000,,414000000,88000000,41300000,194615000,,353575000,6339000000,25119000,9777000000,1219000000,1005000000,218600000,302878000,91349000,201000000,154751000,369100000,564400000,263471000,353200000,222000000,392416000,117000000,2330000000,65661000,90800000,316000000,495000000,215800000,602589000,70745000,1057000000,302878000,16804000,-231100000,61000000,51500000,59730000,,210284000,-15000000,288000000,52600000,253000000,315000000,65661000,,1170000000,175000000,145169000,,,464000000,122892000,198000000,59700000,646000000
minorityInterest,4000000,,,,15000000,7000000,275000000,,,,,5092000,-26000000,194000000,72600000,-300000,65959000,,109100000,4000000,2515000,99300000,286421000,,,7847000,,21600000,,26081000000,,31000000,,,,74000000,4000000,142000000,756300000,,849000000,,,20000000,,,-7391000,,1404000,1143000000,,,1216000000,1000000,3000000,82839000,,15000000,233982000,,,,,,231399000,,2953000000,,34800000,,47000000,66600000,,,,82839000,,829400000,,315800000,16367000,348000000,,164000000,,,,3105000000,,,2380000000,16000000,61922000,348000000,,,41002000,,16100000,5362000000
netIncome,684000000,4240000000,292633000,521759000,-155000000,1525000000,7863000000,255400000,61894000,1263000000,-564503000,295665000,1907000000,-855000000,2310400000,1813800000,1361112000,108263000,439900000,684000000,489345000,3000400000,146130000,-337000000,1340000000,971638000,592000000,-107200000,1795000000,24441000000,614000000,292000000,971772000,1979000000,2912000000,2002000000,6622000000,529000000,689500000,669000000,5089000000,1046000000,306200000,2194000000,701000000,400600000,315774000,512381000,183821000,22183000000,1198511000,18232000000,2952000000,5247000000,-422200000,1142503000,1133804000,-155000000,328379000,2134400000,788700000,1772262000,128500000,772000000,603454000,4063400000,9862000000,424858000,579000000,-3131000000,2394000000,1302600000,596887000,664112000,8630000000,1142503000,107223000,-228000000,3047000000,1696700000,2652000,21308000000,273744000,285000000,1372000000,743400000,2079000000,367000000,424858000,1795000000,-1161000000,864000000,752303000,21308000000,817300000,1346000000,176077000,2606000000,140900000,1164000000
